Date,BKG.L
2015-08-24,3244.887939453125
2015-08-25,3412.2998046875
2015-08-26,3342.028076171875
2015-08-27,3435.034423828125
2015-08-28,3484.637939453125
2015-09-01,3393.6982421875
2015-09-02,3471.20361328125
2015-09-03,3544.57470703125
2015-09-04,3512.53955078125
2015-09-07,3492.90478515625
2015-09-08,3570.41064453125
2015-09-09,3594.178466796875
2015-09-10,3596.245361328125
2015-09-11,3585.9111328125
2015-09-14,3611.74658203125
2015-09-15,3589.01171875
2015-09-16,3577.644287109375
2015-09-17,3593.145263671875
2015-09-18,3508.406494140625
2015-09-21,3533.207275390625
2015-09-22,3427.80029296875
2015-09-23,3521.840087890625
2015-09-24,3537.341552734375
2015-09-25,3575.5771484375
2015-09-28,3575.5771484375
2015-09-29,3446.401611328125
2015-09-30,3451.568603515625
2015-10-01,3490.838134765625
2015-10-02,3439.16796875
2015-10-05,3486.7041015625
2015-10-06,3521.840087890625
2015-10-07,3405.06494140625
2015-10-08,3429.867431640625
2015-10-09,3364.762939453125
2015-10-12,3317.226318359375
2015-10-13,3364.762939453125
2015-10-14,3282.090576171875
2015-10-15,3335.82763671875
2015-10-16,3299.657958984375
2015-10-19,3327.560791015625
2015-10-20,3362.6953125
2015-10-21,3360.62890625
2015-10-22,3332.7275390625
2015-10-23,3409.19873046875
2015-10-26,3410.233154296875
2015-10-27,3387.498046875
2015-10-28,3426.7666015625
2015-10-29,3399.8984375
2015-10-30,3428.833984375
2015-11-02,3415.39990234375
2015-11-03,3302.75830078125
2015-11-04,3195.284912109375
2015-11-05,3253.155029296875
2015-11-06,3212.852294921875
2015-11-09,3199.41796875
2015-11-10,3236.621337890625
2015-11-11,3219.052978515625
2015-11-12,3198.38525390625
2015-11-13,3141.5478515625
2015-11-16,3171.516357421875
2015-11-17,3245.921142578125
2015-11-18,3243.8544921875
2015-11-19,3196.3173828125
2015-11-20,3182.8837890625
2015-11-23,3170.4833984375
2015-11-24,3141.5478515625
2015-11-25,3179.78369140625
2015-11-26,3220.0859375
2015-11-27,3239.720947265625
2015-11-30,3318.25927734375
2015-12-01,3389.564453125
2015-12-02,3421.599853515625
2015-12-03,3463.969482421875
2015-12-04,3722.320556640625
2015-12-07,3720.25390625
2015-12-08,3720.25390625
2015-12-09,3674.7841796875
2015-12-10,3675.8173828125
2015-12-11,3614.846923828125
2015-12-14,3638.6142578125
2015-12-15,3849.429443359375
2015-12-16,3882.49853515625
2015-12-17,3705.739501953125
2015-12-18,3673.6953125
2015-12-21,3678.864013671875
2015-12-22,3789.46728515625
2015-12-23,3801.87109375
2015-12-24,3734.682373046875
2015-12-29,3835.98291015625
2015-12-30,3830.81396484375
2015-12-31,3812.207763671875
2016-01-04,3732.614501953125
2016-01-05,3674.728515625
2016-01-06,3629.246826171875
2016-01-07,3573.428466796875
2016-01-08,3616.842529296875
2016-01-11,3657.156494140625
2016-01-12,3795.66943359375
2016-01-13,3824.6123046875
2016-01-14,3728.48046875
2016-01-15,3628.21337890625
2016-01-18,3545.5185546875
2016-01-19,3692.301513671875
2016-01-20,3583.764892578125
2016-01-21,3567.226318359375
2016-01-22,3581.697509765625
2016-01-25,3666.45947265625
2016-01-26,3657.156494140625
2016-01-27,3677.8291015625
2016-01-28,3617.87646484375
2016-01-29,3654.054931640625
2016-02-01,3644.752197265625
2016-02-02,3666.45947265625
2016-02-03,3649.9208984375
2016-02-04,3688.166259765625
2016-02-05,3504.17138671875
2016-02-08,3234.381591796875
2016-02-09,3194.068115234375
2016-02-10,3289.16650390625
2016-02-11,3117.575927734375
2016-02-12,3288.133056640625
2016-02-15,3267.458984375
2016-02-16,3326.37939453125
2016-02-17,3407.006103515625
2016-02-18,3480.39697265625
2016-02-19,3476.262939453125
2016-02-22,3310.8740234375
2016-02-23,3330.513916015625
